freq,sectperf,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,BES,EUR_HAB,UK	: 	121.694 	: 	125.968 	: 	153.968 	156.515 b	158.454 	183.22 	199.345 	203.865 	202.39 	192.488 b	193.858 	197.2 	189.826 	196.648 	236.999 	256.528 	292.879 	321.242 	326.463 b	334.726 	307.881 	312.174 	323.422 	346.159 	373.986 	324.222 	282.654 	299.632 	318.272 b	332.258 	339.912 	384.289 	443.675 	414.816 	410.314 	427.206 	452.814 p	: 	: 	: 	: 
A,BES,EUR_HAB,US	140.366 d	196.374 bd	251.275 d	305.283 d	391.717 d	452.606 d	362.766 d	321.612 d	327.46 d	366.397 d	337.133 d	365.004 d	350.085 d	378.736 d	374.6 d	372.329 d	415.735 d	502.073 d	539.742 d	611.64 d	766.655 d	790.836 d	711.99 d	610.556 d	571.018 d	614.154 d	660.106 d	651.23 d	648.952 d	658.968 d	679.183 d	676.517 d	747.482 d	765.847 d	802.487 d	1027.779 b	1086.35 b	1128.224 	1179.125 	1374.074 	1463.769 	1628.859 b	2075.237 p	: 
A,BES,MIO_EUR,AT	: 	388.741 d	: 	: 	553.081 	601.491 	: 	: 	: 	923.383 	: 	: 	: 	1300.291 	: 	: 	: 	: 	2145.99 	: 	: 	: 	3130.884 	: 	3556.479 	4207.669 e	4448.676 	4845.861 	5232.63 e	5092.902 	5520.422 e	5692.841 	6540.457 e	6778.42 	7324.679 e	7498.488 	7824.51 e	7888.444 	8323.2 e	8749.143 	8483.46 e	9107.797 	9804.062 e	10729.518 p
A,BES,MIO_EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.909 	25.704 	6.81 	: 	: 	: 	: 	13.127 	13.937 	14.252 	: 	: 
A,BES,MIO_EUR,BE	: 	908.624 	945.721 	1036.738 	1135.467 	1270.948 	1384.177 	1485.896 	1545.797 	1581.881 	: 	1764.796 e	2024.833 b	2252.774 	2398.576 	2585.991 	2744.558 	2890.787 	3014.119 	3307.12 	3588.61 	3921.103 	3662.347 	3607.892 	3731.814 	3775.624 	4105.615 	4420.386 	4650.011 	4574.767 	5027.7 	5613.4 	6148.955 	6356.837 	6675.968 	7076.364 	7444.72 	8333.61 	9432.611 	11143.444 	11537.664 	12873.027 	13666.376 e	14676.151 p
A,BES,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	316.923 	432.143 	490.909 	147.556 	33.166 	32.838 	54.892 	35.575 	30.614 	24.202 b	10.741 	12.077 	14.137 b	15.278 	14.566 	15.044 	17.722 	23.55 	22.908 	30.883 	43.494 	51.699 	55.309 	108.45 	116.93 	153.546 	162.921 	223.416 	318.993 	275.044 	273.07 	304.777 	344.167 	353.347 	361.588 	438.866 	482.538 p
A,BES,MIO_EUR,CH	: 	1433.405 	: 	1848.461 b	: 	: 	3093.872 b	: 	: 	3449.808 	: 	: 	3504.236 	: 	: 	: 	4502.838 	: 	: 	: 	5064.51 	: 	: 	: 	6257.287 	: 	: 	: 	7546.932 	: 	: 	: 	10635.289 	: 	: 	13073.587 	: 	12701.086 	: 	13925.582 	: 	15521.095 	: 	: 
A,BES,MIO_EUR,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7050.809 b	8498.874 	10065.802 	10256.125 	12761.079 	16417.172 	21324.923 	25743.833 	33077.268 	44592.116 b	57801.242 	73136.212 	96755.675 	111160.93 	122905.014 	156043.046 	165174.497 	179056.602 	195101.552 	218754.966 	237136.07 	281902.143 	337325.133 	: 
A,BES,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.291 	1.388 	: 	: 	: 	: 	: 	2.624 	4.336 	5.227 	5.326 	6.859 	8.8 	9.956 	12.163 	14.184 	16.108 	16.732 	16.434 	14.796 	13.765 	13.959 	16.998 	20.009 	19.477 	36.584 	40.943 	53.907 	70.658 	81.868 	84.137 	86.479 	88.5 p
A,BES,MIO_EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	264.099 d	254.722 d	262.238 b	282.88 	340.443 	409.437 	402.947 	446.133 	500.525 	586.005 	617.595 	686.739 	744.938 	895.321 	1038.355 	1151.623 	1063.95 	1187.046 	1388.695 	1520.06 	1597.872 	1706.149 	1765.003 	1811.802 	2157.948 	2481.912 	2680.493 	2612.457 	2985.761 	3484.369 	3766.184 p
A,BES,MIO_EUR,DE	: 	10420.483 	12045.511 e	13093.876 	14139.154 e	16107.876 	18067.001 e	19801.432 	20921.702 e	22237.765 	23390.788 e	25030.571 b	25730.705 e	26193.404 	26331.464 e	27991.311 	27870.622 e	28784.025 	30129.58 	33622.55 	35600 	36331.9 	36950 	38029 	38363 	38651.038 	41148 	43034 	46073 	45275 	46929 	51077.2 	53790.1 	53566.2 	56996.5 	60952 	62826 	68787.3 	72101.3 	75830.4 	71032 	75761.156 	81809.385 	88707 p
A,BES,MIO_EUR,DK	: 	280.337 	336.402 	399.907 	460.443 	530.004 	615.951 	700.851 	758.725 	812.617 	941.513 	1043.674 	1114.376 e	1205.094 	: 	1452.102 	1626.921 e	1777.888 	2052.744 	2306.652 	2596.125 	2934.215 	3198.17 	3354.84 	3331.819 	3476.762 	3627.564 	4101.884 b	4683.745 	4930.609 	4755.092 	4870.265 	4976.625 	4868.354 	4938.429 	5294.086 	5697.362 	5479.122 	5660.253 	5698.424 p	5700.679 	5885.303 p	6726.141 	6883.521 p
A,BES,MIO_EUR,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80018.607 e	84077.293 e	86826.93 e	88940.695 e	91855.424 e	94560.128 e	101619.999 e	108087.717 	115047.012 e	113868.455 e	118064.954 e	126637.172 e	131704.607 e	134806.696 e	140378.337 e	145999.188 	151420.522 e	162173.13 	170660.503 e	180613.313 	175543.774 e	187606.836 	203016.442 e	216495.336 e
A,BES,MIO_EUR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80113.458 e	84181.405 e	86942.402 e	89054.848 e	91999.088 e	94688.966 e	101729.205 e	108229.153 	115235.483 e	114022.315 e	118212.745 e	126787.558 e	131855.899 e	134984.408 e	140542.325 e	146191.183 	151606.275 e	162378.097 	170901.485 e	180907.506 	175843.78 e	187944.183 	203537.063 e	217085.864 e
A,BES,MIO_EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.639 	8.756 	8.334 	16.406 	17.077 	22.657 	32.224 	46.898 	67.094 	81.877 	89.879 	88.207 	116.763 	242.845 	218.997 	155.6 	124.829 	139.45 	139.21 	143.62 	154.84 	241.5 	264.29 	307.654 	360.727 	405.609 
A,BES,MIO_EUR,EL	: 	15.593 	: 	: 	: 	: 	38.185 	: 	46.402 	51.139 	: 	68.947 	: 	100.245 	: 	128.838 	119.172 	138.545 	: 	226.504 	202.043 	278.1 	287.1 	313.49 	317.37 e	357.356 	367.3 e	383.53 	500.8 be	537.83 e	533.39 e	485.863 	458.6 	488.69 	504.37 	561.59 	740.4 	994.04 	1049.5 	1077.9 	1149.88 	1245.195 	1505.488 	1657.949 p
